今 古
始 终
反 正
私 公
霜 雪
雨 风
夫 妇
婆 公
商 学
工 农
春 夏
秋 冬
少 壮
叟 童
品 德
冶 熔
攻 守
击 撞
山 水
海 江
杯 碟
瓮 缸
游 览
个 双
琴 瑟
画 棋
赏 罚
矩 规
贫 富
饱 饥
老 少
尊 卑
恩 怨
德 威
浓 淡
瘦 肥
行 坐
去 归
行 止
起 居
伸 屈
卷 舒
扬 抑
疾 徐
少 长
终 初
进 退
直 谀
忠 佞
诈 虞
欢 悦
乐 愉
戚 友
应 呼
川 谷
涧 溪
写 作
改 批
耕 种
考 稽
严 散
缺 齐
灵 肉
魂 骸
楼 阁
轩 斋
脏 净
拭 揩
来 往
去 回
斥 引
挽 推
喜 怒
乐 哀
收 纵
废 颓
真 伪
杂 纯
男 女
主 宾
上 下
疏 亲
珠 玉
金 银
党 政
民 军
聚 散
合 分
教 读
秒 分
书 画
诗 文
多 少
简 繁
跳 跃
吐 吞
长 幼
卑 尊
思 慕
爱 恩
凉 热
暖 寒
编 撰
报 刊
峰 谷
岗 峦
师 旅
排 班
增 减
添 删
离 合
阻 艰
章 句
节 篇
横 竖
正 偏
远 近
后 前
左 右
后 前
穷 富
缺 全
动 定
稳 摇
晨 夕
暮 朝
增 减
长 消
枝 叶
根 苗
奢 俭
泰 骄
通 阻
送 捎
花 草
叶 苞
琼 玖
艳 姣
奖 罚
贬 褒
勤 惰
逸 劳
得 失
好 糟
麦 菽
黍 禾
锻 铸
炼 磨
凫 雁
蚌 螺
毁 誉
谤 夸
奇 偶
减 加
闲 静
迩 遐
美 恶
好 差
大 小
短 长
偏 正
宽 长
疏 谨
狂 庄
胜 负
弱 强
枪 炮
鼓 旌
荣 辱
输 赢
新 旧
败 成
舒 适
安 宁
台 榭
阁 亭
传 播
视 听
伸 屈
赞 称
战 守
废 兴
哀 乐
爱 仇
开 闭
放 收
诗 酒
颂 讴
收 放
纵 擒
诚 诈
抗 侵
医 护
灸 针
分 合
论 谈
老 少
女 男
知 行
访 探
拉 扯
绊 粘
定 乱
忧 恬
冲 铣
刨 钳
宣 告
笺 函
甜 苦
酸 咸
平 仄
宽 严
往 来
迎 送
燕 莺
吟 诵
忆 思
智 勇
远 深
宽 广
水 山
游 访
正 邪
惩 奖
秽 淫
邪 侈
赌 玩
吞 噬
辱 羞
卑 鄙
牧 渔
农 副
易 难
