崇正学； 育真才。
家无儋石； 气雄万夫。
得三隅法； 是一转机。
具神通力； 生欢喜心。
德配天地； 道冠古今。
小山承盖； 大河前横。
雨匀春圃； 华覆平泉。
凛凛生气； 悠悠苍天。
为臣止敬； 作易有忧。
犹龙遗体； 道德真源。
弦歌渺矣； 吾道非耶。
凤峙纪异； 麟绂呈祥。
佑彼周室； 弘我汉京。
谁非过客； 花是主人。
龙门胜概； 伊阙云连。
义参天地； 道衍春秋。
世外桃源； 归元之路。
勤求古训； 博采众方。
得未曾有； 从无始来。
书城巨观； 人间罕睹。
大汉千古； 先生一人。
玉成桃李； 海涌波澜。
树犹高卧； 我亦归来。
君子好趣； 弥勒同龛。
天覆地载； 山高水长。
以文会友； 与石为徒。
印传东汉； 社结西泠。
杜预左癖； 道济长城。
黄泽不竭； 老子其犹。
天开图画； 人在蓬莱。
道启东南； 贤诣升堂。
高山仰止； 大河前横。
由退思进； 因忙得闲。
休来求我； 只去问心。
汉高故里； 古宋遗风。
龙兴盛世； 华见明章。
文秉枢衡； 武存嗣荫。
恩传三锡； 家衍千名。
三朝阁老； 九省疆臣。
凛凛生气； 悠悠苍天。
一门朴学； 两代宗师。
百年大儒； 一代经师。
谐谑妙笔； 千载生辉。
仗怪以力； 取经唯诚。
华夏正气； 千载英烈。
待东边月； 傲南面王。
铅熔月晕； 码逐星流。
金气多寿； 匠心自工。
万古流传； 气节千载。
静为绿水； 闹是酒家。
修其天爵； 教以人伦。
饮建业水； 看蒋山云。
幽森静妙； 典雅怡情。
香漫清野； 色压芳邻。
度盃万顷； 传灯十方。
风行天上； 香滴人间。
移花得蝶； 买石饶云。
登斯楼也； 大哉观乎。
仙人旧馆； 文章奥区。
山川异域； 风月同天。
竹影参差； 鸟声上下。
寒玉作响； 飞泉仰流。
文章华国； 诗礼传家。
奇峰献玉； 峭碧垂云。
竹外山影； 花间水香。
仁心为质； 大德为生。
仁里德邻； 放开眼界。
立定脚跟； 廿年缔构。
韩潮苏海； 陶菊周莲。
汉唐古郡； 淮海名区。
腾蛟起风； 紫电青霜。
杜奸裕运； 秉掣持平。
