春风梳柳燕裁锦 秋雨点芦蛙弄声
瓶花落砚香归字 院竹敲窗韵入琴
相逢此际,惟愿春风浩荡 预约来日,且盼秋雨绵长
庭院蝉鸣炊烟深 深山鹤舞白云秋
松影入杯茶作秀 诗情联袂画出神
松影入杯茶作秀 诗情联袂画出神
踏雪梅园揽暗香 梅瓣盈袖醉游人
新笔红叶句 华堂友琴章
喜望金菊放 乐迎新人来
喜看新郎争采桂 欣迎淑女乐留枫
双星牛女窥银汉 并蒂芙蓉映彩霞
诗题红叶同心句 酒饮黄花合卺杯
人间好句题红叶 天上良缘系彩绳
秋色清华迎吉禧 威仪徽美乐陶情
酒酿黄花情联鸾凤 诗题红叶梦协熊羆
九华灯映销金帐 七孔针穿彩绿帏
吉日恰逢桂子熟 新婚喜共月儿圆
丹桂香飘云路近 玉箫声绕镜台高
不劳鸿雁传尺素 且喜秋声入洞房
百合香车迎淑女 中秋朗月照宾朋
银汉一泓看鹊渡 金风万里待鹏飞
玉镜人间传合璧 银河天上渡双星
玉律鸣秋鹊桥路近 金风涤暑鱼水欢谐
鸾凤和鸣秋光满月 雁翔比翼壮志凌云
朗月庆长圆光照庭前连理树 卿云何灿烂瑞符天上吉奎星
喜临安宅地 福载善人家
东风开画栋 旭日映华堂
芳室芝兰茂 春风桃李新
新春迁新宅 福地启福门
兰径香风满 松窗夜月圆
新居新气象 佳业佳风光
仁风丽日照 德泽福星明
借得山川秀 添来气象新
春风迎绿树 山色上红楼
宝盖万年在 华厦千秋辉
祥云浮紫阁 喜气溢朱门
新年纳余庆 忠厚传家久
世泽绵为善 海岳君亲寿
佳节号长春 诗书继世长
家声振读书 莺花天地春
寒雪梅中尽 清溪吟雅韵
世泰云生彩 长空盈瑞气
春风柳上归 皓月洒春晖
年丰雪献花 大地遍春光
大地春来早 春为一岁首
寒去草先翠 吟竹诗含翠
农家福降多 梅在百花先
春来花最红 画梅笔带香
雪里江山美 红日千秋照
千林华光动 竹影摇风雨
花间岁月新 神州万载春
四海瑞气高 花溪入画图
寒梅因雪艳 一堂开暖日
酒饮全家福 一曲迎春调
飞燕为春归 百鸟唱新春
歌唱满江红 三杯祝福歌
春地英雄气 万里春光暖
六合同春日 富贵三春景
乾坤锦纶春 九州气象新
三阳开泰时 平安两字金
寒风随岁去 春满改革路
日日平安日 勤劳方致富
德政伴春来 花繁民主枝
年年幸福年 和睦可生财
新岁多吉庆 春辉满庭院
日月红光照 日亨君子道
合家乐安然 欢笑溢门窗
乾坤喜气多 天相吉人家
云霞成异彩 春来瑞雪里
乾坤风雪荡 送寒余雪尽
梅柳动春风 人在画图中
中华日月新 迎岁早梅新
吉门沾泰早 三阳临吉地
财源通四海 玉堂浮瑞气
仁里得春多 五福萃华门
春色满人间 金室耀祥光
屋小乾坤大 腊鼓催穷去
福同时共彩 华屋辉生壁
檐低日月长 金狮送富来
人并物皆春 春山绿到门
柳笛穿林过 鱼香飘万里
一帆云作伴 轻舟腾巨浪
渔歌踏浪来 红日映千帆
千里月相随 渔汛卷春风
骏马驰千里 云山添秀色
海阔凭鱼跃 文笔绘宏图
东风暖万家 河海泛春潮
天高任鸟飞 浓墨写春秋
天增岁月寿 人间春尽染
阳春开物象 九州花似锦
福满人间门 天下乐相融
丽日焕新天 四海歌如潮
青松迎风立 良辰逢雪霁
旭霁青山秀 春风苏绿野
